state,iso_code,region
Acre,BR-AC,North
Alagoas,BR-AL,Northeast
Amapá,BR-AP,North
Amazonas,BR-AM,North
Bahia,BR-BA,Northeast
Ceará,BR-CE,Northeast
Distrito Federal,BR-DF,Central-West
Espírito Santo,BR-ES,Southeast
Goiás,BR-GO,Central-West
Maranhão,BR-MA,Northeast
Mato Grosso,BR-MT,Central-West
Mato Grosso do Sul,BR-MS,Central-West
Minas Gerais,BR-MG,Southeast
Pará,BR-PA,North
Paraíba,BR-PB,Northeast
Paraná,BR-PR,South
Pernambuco,BR-PE,Northeast
Piauí,BR-PI,Northeast
Rio de Janeiro,BR-RJ,Southeast
Rio Grande do Norte,BR-RN,Northeast
Rio Grande do Sul,BR-RS,South
Rondônia,BR-RO,North
Roraima,BR-RR,North
Santa Catarina,BR-SC,South
São Paulo,BR-SP,Southeast
Sergipe,BR-SE,Northeast
Tocantins,BR-TO,North
